timestamp_us,ax,ay,az,gx,gy,gz
13481410,748,-112,-13796,95,308,110
13486412,796,-136,-13484,102,299,99
13491212,880,-96,-13292,98,349,113
13496012,944,-60,-13508,106,392,73
13500912,944,-60,-13508,106,392,73
13505712,772,-160,-13840,97,339,101
13510512,720,-172,-13780,96,317,92
13516412,848,-32,-13352,125,353,86
13521212,832,-196,-13688,102,324,95
13526012,832,-196,-13688,102,324,95
13617110,848,-132,-13308,91,315,106
13621012,848,-132,-13308,91,315,106
13625812,820,-40,-13480,95,362,101
13630612,788,-124,-13592,113,338,97
13635412,712,-64,-13612,110,300,115
13641312,876,-216,-13244,102,353,83
13646212,816,-264,-13360,113,364,95
13651012,816,-264,-13360,113,364,95
13655812,640,-64,-13660,130,356,91
13660612,812,-212,-13860,81,287,112
13732611,848,-288,-13876,89,321,94
13735411,848,-288,-13876,89,321,94
13741311,900,-60,-13268,110,322,103
13746111,900,-60,-13268,110,322,103
13750911,868,-96,-13448,94,342,92
13755711,772,-204,-13772,84,358,105
13760511,780,-96,-13796,100,333,104
13853710,696,-100,-13824,111,352,87
13866912,916,-212,-13248,80,353,105
13870712,916,-212,-13248,80,353,105
13875512,852,-132,-13476,136,336,108
13881412,712,-124,-13888,106,311,102
13886312,852,-124,-13520,94,328,104
13891112,852,-124,-13520,94,328,104
13895912,936,-100,-13184,114,364,87
13900712,872,-164,-13404,86,352,115
13905512,696,-116,-13832,101,349,105
13911412,804,-72,-13572,87,308,109
13916212,804,-72,-13572,87,308,109
13921012,1000,-192,-13316,105,353,91
13993611,908,-120,-13220,74,343,97
13996411,824,-64,-13412,122,341,90
14001211,824,-64,-13412,122,341,90
14006011,820,-120,-13608,117,317,99
14010811,820,-244,-13784,115,301,109
14103210,772,-84,-13788,107,364,101
14105810,772,-84,-13788,107,364,101
14110612,820,-160,-13820,79,321,91
14115412,848,-76,-13384,99,331,121
14121312,868,-56,-13284,76,348,96
14126112,776,-96,-13440,96,356,96
14130912,704,-84,-13800,102,339,78
14135712,800,-132,-13656,87,335,89
14140612,880,-132,-13584,89,314,90
14145412,812,-192,-13512,99,350,84
14151312,744,-56,-13372,98,351,77
14156112,628,-64,-13756,107,322,99
14160912,952,-100,-13768,83,317,107
14165712,788,-156,-13440,108,311,99
14170512,868,-152,-13408,115,310,110
14242012,812,-24,-13344,104,329,83
14245712,812,-24,-13344,104,329,83
14339110,968,-168,-13560,79,354,94
14352412,864,-220,-13500,120,351,106
14356212,864,-220,-13500,120,351,106
14361112,896,-116,-13688,131,324,89
14365912,860,-228,-13384,102,332,97
14370712,844,-196,-13628,105,340,91
14375512,932,-212,-13496,101,343,99
14381412,752,-148,-13696,95,334,115
14386212,772,-208,-13616,118,338,118
14391012,772,-152,-13580,97,327,98
14395812,784,-168,-13420,97,348,113
14400712,844,-108,-13456,94,358,100
14405512,800,-124,-13408,93,354,96
14411412,900,-144,-13768,63,334,91
14416212,872,-248,-13584,85,347,93
14421012,804,20,-13312,107,333,104
14425812,824,-128,-13440,103,321,106
14541012,864,-192,-13532,87,352,110
14618810,868,-16,-13472,101,353,95
14621410,868,-16,-13472,101,353,95
14626212,796,-140,-13776,78,360,104
14631012,864,-72,-13748,106,319,73
14635812,800,-164,-13488,96,309,118
14640612,888,-88,-13512,118,327,106
14645412,800,-92,-13340,134,310,103
14651312,828,-152,-13544,92,342,102
14656212,804,-132,-13728,104,334,94
14661012,784,-76,-13636,97,331,109
14665812,904,-112,-13336,106,345,110
14670612,880,-96,-13368,98,349,86
14675412,808,-116,-13636,96,337,96
14681312,816,-116,-13620,104,319,98
14686112,836,-120,-13544,105,312,111
14690912,916,-208,-13184,103,340,110
14783110,784,-76,-13688,88,325,113
14785818,784,-76,-13688,88,325,113
14790612,848,-156,-13496,102,345,97
14795412,804,-104,-13432,94,324,57
14867511,872,-200,-13452,110,328,87
14880910,852,-52,-13780,89,342,76
14885710,864,-136,-13696,104,341,94
14890512,948,-164,-13476,98,338,105
14896412,896,-156,-13228,111,316,123
14901212,728,-196,-13620,109,365,88
14906012,820,-136,-13728,77,342,93
14910812,728,-100,-13564,116,334,122
14915612,916,-56,-13312,100,343,102
14920512,952,-80,-13216,97,370,90
14926412,908,-60,-13600,96,343,109
14931212,776,-124,-13696,88,351,86
14936012,812,-144,-13656,83,306,124
14940812,840,-76,-13160,66,318,87
15031812,812,-204,-13808,86,324,119
15035612,812,-204,-13808,86,324,119
15040512,964,-132,-13412,131,313,128
15046412,892,-168,-13364,89,309,97
15051212,816,-116,-13660,102,326,77
15056012,772,-124,-13632,97,368,109
15128111,784,-80,-13436,86,364,93
15130911,784,-80,-13436,86,364,93
15135711,832,-112,-13760,77,346,91
15140511,864,-88,-13564,100,358,94
15146411,864,-156,-13432,119,337,98
15151211,768,-100,-13548,81,349,88
15156111,792,-152,-13428,129,319,64
15160911,796,-116,-13624,111,342,93
15165711,724,-228,-13604,99,320,94
15170511,820,-160,-13432,72,327,108
