timestamp_ms,ir_ambient_c,ir_object_c,sound_peak,sound_volts,ax,ay,az,gx,gy,gz,mx,my,mz
7440,26.73,26.21,3009,0.606,824,-176,-13692,82,319,100,0,0,0
7445,26.73,26.21,1456,0.293,916,-56,-13444,100,346,83,0,0,0
7451,26.73,26.21,5502,1.108,960,-24,-13412,95,355,123,0,0,0
7456,26.73,26.21,1777,0.358,772,-28,-13616,77,372,109,0,0,0
7461,26.73,26.21,2678,0.539,896,-112,-13712,101,354,108,0,0,0
7465,26.73,26.21,1158,0.233,856,4,-13708,108,326,95,0,0,0
7535,26.73,26.21,2579,0.519,880,-152,-13708,107,340,98,0,0,0
7540,26.73,26.21,2820,0.568,920,-168,-13540,139,332,95,0,0,0
7545,26.73,26.21,3476,0.7,836,-84,-13468,83,275,91,0,0,0
7550,26.73,26.21,3670,0.739,868,-72,-13508,122,292,109,0,0,0
7556,26.73,26.21,2400,0.483,748,-116,-13640,118,320,98,0,0,0
7561,26.73,26.21,2922,0.589,792,-124,-13640,143,353,94,0,0,0
7566,26.73,26.21,4267,0.859,748,-220,-13660,59,345,77,0,0,0
7570,26.73,26.21,2770,0.558,856,-164,-13456,95,366,121,0,0,0
7657,26.77,26.23,1920,0.387,932,-72,-13588,93,355,98,0,0,0
7661,26.77,26.23,1583,0.319,928,-84,-13604,94,341,98,0,0,0
7666,26.77,26.23,2210,0.445,816,-108,-13560,84,321,91,0,0,0
7671,26.77,26.23,2655,0.535,856,-100,-13544,96,303,92,0,0,0
7675,26.77,26.23,2849,0.574,900,-184,-13444,127,314,103,0,0,0
7680,26.77,26.23,1694,0.341,772,-100,-13456,119,350,119,0,0,0
7685,26.77,26.23,1609,0.324,892,-160,-13744,89,323,104,0,0,0
7691,26.77,26.23,2535,0.511,716,-144,-13596,119,322,115,0,0,0
7696,26.77,26.23,2429,0.489,784,-168,-13552,108,324,120,0,0,0
7701,26.77,26.23,2910,0.586,732,-104,-13408,81,320,110,0,0,0
7705,26.77,26.23,2508,0.505,604,-196,-13584,117,315,120,0,0,0
7710,26.77,26.23,2690,0.542,752,-156,-13564,77,331,133,0,0,0
7781,26.77,26.23,1217,0.245,912,-20,-13520,108,340,280,0,0,0
7786,26.77,26.23,4618,0.93,776,16,-13780,143,302,295,0,0,0
7790,26.77,26.23,2754,0.555,896,-108,-13596,153,312,281,0,0,0
7795,26.77,26.23,3647,0.735,668,-200,-13432,88,251,299,0,0,0
7800,26.77,26.23,2908,0.586,572,-308,-13496,112,307,317,0,0,0
7886,26.77,26.23,4909,0.989,732,-192,-13496,66,362,297,0,0,0
7910,26.77,26.23,3528,0.711,1096,-216,-13660,111,308,209,0,0,0
7911,26.77,26.23,594,0.12,1096,-216,-13660,111,308,209,0,0,0
7915,26.77,26.23,2044,0.412,884,-140,-13548,143,286,205,0,0,0
7921,26.77,26.23,3869,0.779,860,-440,-13688,151,233,183,0,0,0
7926,26.77,26.23,3717,0.749,664,-400,-13600,135,157,163,0,0,0
7931,26.77,26.23,2754,0.555,580,-400,-13584,148,248,169,0,0,0
7935,26.77,26.23,2605,0.525,776,-284,-13396,65,331,160,0,0,0
7940,26.77,26.23,1856,0.374,752,-248,-13288,85,447,112,0,0,0
7945,26.77,26.23,2759,0.556,1000,-352,-13344,40,479,103,0,0,0
7951,26.77,26.23,2403,0.484,720,-228,-13768,72,428,79,0,0,0
7956,26.77,26.23,3068,0.618,864,-80,-13588,82,343,101,0,0,0
7961,26.77,26.23,3911,0.788,652,-48,-13732,42,248,103,0,0,0
7965,26.77,26.23,4392,0.885,1028,-80,-13392,68,252,83,0,0,0
7970,26.77,26.23,6247,1.258,700,12,-13196,102,281,117,0,0,0
8041,26.77,26.23,171,0.034,860,-128,-13768,88,266,100,0,0,0
8045,26.77,26.23,2091,0.421,984,20,-13144,133,338,91,0,0,0
8050,26.77,26.23,2287,0.461,892,64,-13408,57,303,85,0,0,0
8055,26.77,26.23,2595,0.523,980,-28,-13452,147,383,83,0,0,0
8139,26.77,26.23,2412,0.486,788,-80,-13684,96,310,91,0,0,0
8141,26.73,26.29,1644,0.331,788,-80,-13684,96,310,91,0,0,0
8146,26.73,26.29,3054,0.615,936,-152,-13688,142,305,101,0,0,0
8151,26.73,26.29,2132,0.429,836,-108,-13512,131,300,104,0,0,0
8155,26.73,26.29,1873,0.377,692,-328,-13744,108,255,90,0,0,0
8160,26.73,26.29,2534,0.51,700,-272,-13516,119,310,118,0,0,0
8165,26.73,26.29,2367,0.477,716,-296,-13584,71,290,99,0,0,0
8170,26.73,26.29,1409,0.284,864,-208,-13232,130,426,87,0,0,0
8176,26.73,26.29,3627,0.731,832,-260,-13436,47,362,100,0,0,0
8181,26.73,26.29,2304,0.464,832,-184,-13652,73,414,95,0,0,0
8185,26.73,26.29,2683,0.54,848,-96,-13808,65,353,106,0,0,0
8190,26.73,26.29,992,0.2,952,-12,-13620,100,324,105,0,0,0
8195,26.73,26.29,2087,0.42,944,-28,-13132,99,303,109,0,0,0
8201,26.73,26.29,1822,0.367,936,-96,-13504,111,271,124,0,0,0
8206,26.73,26.29,1504,0.303,856,28,-13492,131,369,90,0,0,0
8211,26.73,26.29,2503,0.504,852,-28,-13572,88,317,109,0,0,0
8280,26.73,26.29,909,0.183,804,-24,-13424,99,345,89,0,0,0
8367,26.73,26.29,2898,0.584,852,-56,-13640,101,327,98,0,0,0
8388,26.73,26.29,440,0.089,664,-216,-13696,137,322,93,0,0,0
8391,26.73,26.29,2640,0.532,760,-192,-13500,94,379,107,0,0,0
8395,26.73,26.29,4334,0.873,748,-192,-13584,104,381,61,0,0,0
8400,26.73,26.29,4097,0.825,1012,-144,-13268,95,377,116,0,0,0
8405,26.73,26.29,2283,0.46,816,-20,-13708,87,351,107,0,0,0
8411,26.73,26.29,3288,0.662,856,-88,-13488,121,338,105,0,0,0
8435,26.73,26.29,1371,0.276,840,-112,-13616,132,347,117,0,0,0
8440,26.73,26.29,2554,0.514,880,-200,-13772,100,297,101,0,0,0
8446,26.73,26.29,3215,0.648,880,-192,-13472,102,297,102,0,0,0
8451,26.73,26.29,3713,0.748,768,-220,-13348,140,276,83,0,0,0
8456,26.73,26.29,1279,0.258,728,-164,-13556,124,302,86,0,0,0
8460,26.73,26.29,2497,0.503,688,-280,-13684,101,329,94,0,0,0
8465,26.73,26.29,2874,0.579,780,-264,-13708,86,386,73,0,0,0
8470,26.73,26.29,1293,0.26,896,-164,-13492,93,385,95,0,0,0
8476,26.73,26.29,2987,0.602,672,-136,-13548,116,355,111,0,0,0
8481,26.73,26.29,2541,0.512,776,-60,-13384,82,322,85,0,0,0
8565,26.73,26.29,844,0.17,844,44,-13676,108,325,86,0,0,0
8570,26.73,26.29,2484,0.5,904,-68,-13328,92,366,96,0,0,0
8641,26.77,26.29,1853,0.373,848,-32,-13640,86,298,105,0,0,0
8645,26.77,26.29,2014,0.406,860,-80,-13460,97,314,95,0,0,0
8650,26.77,26.29,2530,0.51,832,-128,-13372,110,382,96,0,0,0
8655,26.77,26.29,529,0.107,936,-112,-13520,96,343,97,0,0,0
8661,26.77,26.29,2540,0.512,852,-192,-13748,122,362,95,0,0,0
8666,26.77,26.29,1682,0.339,748,-96,-13616,115,283,97,0,0,0
8671,26.77,26.29,2108,0.425,884,-208,-13592,117,257,101,0,0,0
8675,26.77,26.29,1275,0.257,756,-228,-13416,113,294,100,0,0,0
8680,26.77,26.29,1451,0.292,564,-204,-13576,104,313,108,0,0,0
8685,26.77,26.29,1573,0.317,760,-300,-13488,99,355,98,0,0,0
8691,26.77,26.29,2784,0.561,732,-180,-13684,86,358,91,0,0,0
8696,26.77,26.29,2584,0.52,860,-256,-13588,102,374,115,0,0,0
8701,26.77,26.29,1490,0.3,916,-136,-13536,76,330,89,0,0,0
8705,26.77,26.29,2542,0.512,848,-136,-13612,90,331,95,0,0,0
8710,26.77,26.29,2732,0.55,880,-128,-13628,92,335,115,0,0,0
8793,26.77,26.29,17,0.003,880,-128,-13628,92,335,115,0,0,0
8795,26.77,26.29,441,0.089,924,88,-13252,116,372,88,0,0,0
8800,26.77,26.29,1922,0.387,960,-92,-13352,116,354,108,0,0,0
8806,26.77,26.29,2328,0.469,836,-104,-13684,103,339,113,0,0,0
8811,26.77,26.29,2454,0.494,888,-164,-13796,104,305,94,0,0,0
8881,26.77,26.29,594,0.12,824,-100,-13824,82,336,90,0,0,0
8905,26.77,26.29,3189,0.642,624,-216,-13548,94,369,102,0,0,0
8910,26.77,26.29,3820,0.769,908,-312,-13788,101,369,97,0,0,0
8915,26.77,26.29,1753,0.353,764,-112,-13576,88,355,91,0,0,0
8920,26.77,26.29,3123,0.629,784,-84,-13404,99,346,98,0,0,0
8926,26.77,26.29,2915,0.587,860,-84,-13428,85,310,106,0,0,0
8931,26.77,26.29,3478,0.701,832,-60,-13508,96,322,109,0,0,0
8936,26.77,26.29,4218,0.85,784,-160,-13688,58,328,102,0,0,0
8940,26.77,26.29,2894,0.583,832,-104,-13592,101,331,118,0,0,0
8945,26.77,26.29,2849,0.574,868,-40,-13344,123,350,113,0,0,0
8950,26.77,26.29,3802,0.766,928,-48,-13364,110,364,66,0,0,0
8956,26.77,26.29,4101,0.826,844,-192,-13656,107,330,113,0,0,0
8961,26.77,26.29,1409,0.284,824,-236,-13916,113,289,113,0,0,0
9045,26.77,26.29,1406,0.283,796,-176,-13392,116,305,82,0,0,0
9050,26.77,26.29,2001,0.403,792,-160,-13336,118,353,102,0,0,0
9055,26.77,26.29,2725,0.549,900,-196,-13516,104,389,97,0,0,0
9061,26.77,26.29,1367,0.275,860,-144,-13812,73,381,104,0,0,0
9066,26.77,26.29,1132,0.228,780,-208,-13620,92,347,110,0,0,0
9071,26.77,26.29,758,0.153,908,-92,-13468,100,305,120,0,0,0
9075,26.77,26.29,2521,0.508,892,-20,-13188,114,324,101,0,0,0
9146,26.77,26.29,20,0.004,948,-32,-13348,108,307,94,0,0,0
9151,26.71,26.21,1164,0.234,900,-48,-13316,103,336,95,0,0,0
9156,26.71,26.21,1242,0.25,816,-16,-13372,105,323,75,0,0,0
9160,26.71,26.21,902,0.182,856,-124,-13792,113,328,77,0,0,0
9165,26.71,26.21,1621,0.327,924,36,-13528,123,331,105,0,0,0
9170,26.71,26.21,2226,0.448,904,48,-13296,111,322,110,0,0,0
9176,26.71,26.21,1365,0.275,928,-48,-13128,104,321,70,0,0,0
9181,26.71,26.21,2501,0.504,876,-184,-13692,126,340,79,0,0,0
9185,26.71,26.21,2648,0.533,740,-192,-13708,114,292,91,0,0,0
9190,26.71,26.21,2208,0.445,700,-156,-13376,117,324,103,0,0,0
9274,26.71,26.21,1155,0.233,700,-156,-13376,117,324,103,0,0,0
9275,26.71,26.21,598,0.12,860,-192,-13244,108,351,77,0,0,0
9280,26.71,26.21,905,0.182,804,-136,-13680,90,385,100,0,0,0
9286,26.71,26.21,2499,0.503,780,-140,-13872,118,348,82,0,0,0
9291,26.71,26.21,1159,0.233,760,-172,-13780,78,298,87,0,0,0
9296,26.71,26.21,1393,0.281,908,-28,-13328,80,267,90,0,0,0
9300,26.71,26.21,2538,0.511,956,-152,-13308,95,334,87,0,0,0
9305,26.71,26.21,3264,0.657,872,44,-13368,89,371,87,0,0,0
9310,26.71,26.21,2172,0.438,748,-48,-13988,125,333,98,0,0,0
9316,26.71,26.21,2386,0.481,788,-108,-13732,100,315,128,0,0,0
9386,26.71,26.21,22,0.004,756,-176,-13956,69,339,72,0,0,0
