window_id,start_timestamp_ms,end_timestamp_ms,ax_mean,ax_std,ax_rms,ax_peak,ax_ptp,ay_mean,ay_std,ay_rms,ay_peak,ay_ptp,az_mean,az_std,az_rms,az_peak,az_ptp,acc_mag_mean,acc_mag_std,acc_mag_rms,acc_mag_peak,acc_mag_ptp,gx_mean,gx_std,gx_rms,gx_peak,gy_mean,gy_std,gy_rms,gy_peak,gz_mean,gz_std,gz_rms,gz_peak,gyro_mag_mean,gyro_mag_std,gyro_mag_rms,gyro_mag_peak,sound_peak_mean,sound_peak_std,sound_peak_rms,sound_peak_peak,sound_volts_mean,sound_volts_std,sound_volts_rms,sound_volts_peak,ir_object_mean,ir_object_std,ir_object_min,ir_object_max,ir_object_range,temperature_slope,ir_ambient_mean,ir_ambient_std
92,372489,380459,745.435,25.072510344997365,745.8565344622248,814.0,132.0,8.09,23.35020128392901,24.711940433725555,90.0,168.0,-13625.03,43.74333206329852,13625.10021908096,13768.0,230.0,13645.451443250358,43.858179359378966,13645.521925892024,13787.473735242436,228.810526798914,137.925,2.2437412952477382,137.94324920053174,144.0,337.0975,2.426518854243667,337.1062332559278,345.0,92.6575,2.1366314024651047,92.68213150332701,99.0,375.83598531328505,2.4984282243338742,375.84428956683644,382.0798345895789,2281.46,1506.2884263646188,2733.855254946757,6311.0,0.459525,0.303409309967575,0.5506545514203982,1.271,34.5461,0.030377458748224236,34.47,34.59,0.12000000000000455,-0.005018820577165151,32.50085,0.01694926252082883
93,376478,384470,748.435,27.302028770770868,748.9328073999696,814.0,130.0,8.375,22.772557498006236,24.263758983306772,90.0,168.0,-13626.67,43.13619246062406,13626.73827517062,13768.0,248.0,13647.256847914217,43.19290518722152,13647.325199466744,13787.473735242436,244.87339409672313,137.3975,2.490882122863304,137.4200767719186,147.0,337.2525,2.3545156083576937,337.2607188808089,343.0,92.6625,1.9757514393263136,92.6835611098322,99.0,375.7830397904088,2.533674383183183,375.79158119894066,381.9659670703661,2366.7275,1546.3143659177942,2827.0987208620786,6311.0,0.4767175,0.31146288333242855,0.5694459610006906,1.271,34.563550000000006,0.027007360107942826,34.51,34.61,0.10000000000000142,0.007507507507507792,32.524649999999994,0.015045846602966685
94,380483,388453,750.025,27.29229515815773,750.5213987622205,820.0,146.0,7.84,21.627630475851948,23.004782111552373,64.0,118.0,-13630.435,37.23869996388166,13630.485868449445,13750.0,230.0,13651.101587029965,37.176075478510604,13651.152207780851,13769.800289038327,227.19994789261364,137.1825,2.5098194656189916,137.20545725298248,147.0,337.29,2.4486526907669037,337.29888822823,346.0,92.7375,2.1008554805126414,92.76129311302209,101.0,375.75765921353894,2.591629287125817,375.76659643986454,384.56988961695896,2337.3975,1520.304796576578,2788.324541279225,6921.0,0.47082250000000003,0.3062210818897843,0.5616450636300474,1.394,34.58635000000001,0.03574461497904408,34.51,34.67,0.1600000000000037,0.005018820577165151,32.5371,0.013769168457099063
95,384495,392468,747.715,25.506641782092757,748.1499248145388,820.0,146.0,8.0,22.088458524759034,23.49255201122262,60.0,114.0,-13626.785,37.71012828140472,13626.837178523856,13750.0,234.0,13647.32754775191,37.71610228848366,13647.379664243243,13769.800289038327,233.7759096276568,137.1675,2.3365452595659257,137.18739920269644,144.0,337.27,2.3816170976880393,337.2784087367586,346.0,93.0,2.266053838724932,93.02760343037974,101.0,375.7996222251702,2.4261977288229506,375.80745402399884,384.56988961695896,2361.2,1547.5949066212386,2823.1747085506413,6921.0,0.4756225,0.31173646721830606,0.5686795121155677,1.394,34.616550000000004,0.04169049651899136,34.55,34.69,0.14000000000000057,0.012542330364981102,32.5433,0.015398376537803644
96,388477,396479,749.195,24.801249464492713,749.6053961918898,824.0,150.0,7.395,21.255210537654058,22.50488835786572,60.0,102.0,-13623.045,40.67920814126057,13623.10573511048,13730.0,214.0,13643.670739790141,40.90640774123527,13643.732062379413,13750.625440320888,214.6010609102177,137.06,2.3013908837917993,137.07932010336205,143.0,337.595,2.473049736661194,337.6040580324828,346.0,92.83,2.3740471772902914,92.86035214234329,100.0,376.010830292649,2.4780037596225046,376.0189955308109,382.7636346363118,2435.61,1551.1266350301642,2887.592407179379,6363.0,0.49061750000000004,0.31246391182622996,0.5816693455048151,1.282,34.63965,0.03709282275589208,34.55,34.69,0.14000000000000057,0.009997500624843576,32.55835,0.017299638724551966
97,392493,400455,749.54,24.80258857458229,749.9502516834033,824.0,144.0,5.63,22.705574205467695,23.393161393877484,60.0,116.0,-13625.795,39.362773974911875,13625.851856306086,13730.0,208.0,13646.437505517806,39.4314341213973,13646.494474039844,13750.625440320888,211.5287200813873,137.09,2.1475334688893675,137.10681966992013,143.0,337.75,2.694902595642373,337.76075112422404,346.0,92.8075,2.326036059479732,92.83664416597576,99.0,376.1545580300861,2.644990206139298,376.1638572484071,383.58050002574424,2522.945,1502.036290165787,2936.216015554714,6802.0,0.5081950000000001,0.30255258547069136,0.5914391135188811,1.37,34.6435,0.027161553711082247,34.59,34.69,0.09999999999999432,-0.012559658377291423,32.5725,0.015548311805467958
98,396504,404462,749.57,23.337846944394848,749.9332236939499,806.0,114.0,5.915,23.69393962598875,24.42109743643803,78.0,148.0,-13629.99,37.03727716774007,13630.040321290322,13716.0,174.0,13650.627458554487,36.95101836569291,13650.67747000126,13734.79173486078,171.9069384762006,136.96,2.398624605893969,136.98100233244023,143.0,337.7575,2.5433626855012244,337.76707580816696,346.0,92.7875,2.1112422291153616,92.81151598804968,99.0,376.10908577496343,2.515074058790618,376.11749494007853,383.58050002574424,2564.9025,1510.1994679491017,2976.4790050494225,7099.0,0.5166275,0.3041904892394731,0.5995296719095728,1.43,34.63685,0.03237402508184556,34.59,34.69,0.09999999999999432,0.0025131942699165646,32.58545000000001,0.018822792035190487
99,400480,408475,749.265,23.808607162116814,749.6431751173354,802.0,114.0,6.715,24.96314833910178,25.85053190942113,78.0,148.0,-13626.95,37.435244088959806,13627.001419974975,13704.0,214.0,13647.57864000411,37.39124100050122,13647.62986162799,13724.534819074926,213.33872102350324,136.715,2.5688080893675185,136.73913119513375,143.0,338.2225,2.364951109431229,338.23076811549834,343.0,93.015,2.224808980564399,93.0416035975305,99.0,376.4944476713053,2.5126425688327547,376.5028319946611,381.7302712649339,2561.9725,1470.3909350046165,2953.9384882729023,7099.0,0.5160525,0.2961876174720172,0.5950103255406581,1.43,34.65775000000001,0.03774834433455234,34.59,34.71,0.11999999999999744,0.012507817385865455,32.60135000000001,0.013934758699022167
100,404486,412453,747.46,24.184466088793442,747.8511482908881,802.0,118.0,7.88,23.976772093007014,25.238462710712,62.0,118.0,-13625.78,41.291301747462505,13625.842564039847,13740.0,250.0,13646.310860773321,41.27700498012623,13646.373287434284,13760.829626152632,249.63352810120887,136.4575,2.382896084599578,136.47830413659162,142.0,338.32,2.3553343711668626,338.32819864740804,344.0,93.1,2.186321110907545,93.12566778284062,100.0,376.50825209679425,2.4947150171481556,376.51651690198133,382.3833155356023,2435.53,1555.2455446327438,2889.7396223535434,8260.0,0.49058250000000003,0.3132791857014283,0.5820782056562503,1.664,34.66695000000001,0.03218225442693486,34.61,34.71,0.10000000000000142,0.0,32.60925000000001,0.01274509709653049
101,408499,416462,746.77,25.910366651207386,747.2193653807428,834.0,156.0,8.405,23.012735061265534,24.499591833334694,60.0,106.0,-13629.785,42.51827577642348,13629.851317971154,13740.0,228.0,13650.273119919631,42.75174381886638,13650.340067558756,13761.372751291929,227.9034252100173,136.7675,2.235719962338754,136.78577228644798,142.0,338.095,2.3196928676012263,338.10295769188417,344.0,92.86,2.0249444436823443,92.88207577353124,100.0,376.3582973488667,2.3386997802294798,376.36556364789806,382.3833155356023,2378.1675,1723.1315923178213,2936.8117308571213,9519.0,0.4790175000000001,0.34708662059167594,0.5915461837422332,1.917,34.670950000000005,0.03130650890789282,34.61,34.71,0.10000000000000142,-0.002511616225040314,32.619600000000005,0.018596773913773672
