timestamp_us,audio_adc
72991011,7622
72992111,7995
72993211,6164
72994311,9561
72995411,4007
72996911,5178
72998011,5478
72999111,5478
73000211,8536
73001711,6266
73002811,9586
73003911,8638
73093210,6982
73171610,5686
73173112,3991
73174212,7899
73175412,6234
73176912,11159
73178012,4760
73179112,3968
73180212,1580
73181712,5233
73182812,11203
73183912,23
73185012,7043
73186612,3165
73187712,4368
73188812,12199
73189912,4921
73191412,12210
73192512,5989
73193612,11039
73194712,9639
73196212,2434
73197312,12193
73198412,34
73199512,4817
73201012,4792
73202112,48
73203212,12201
73204312,4228
73205412,9144
73206912,8836
73208012,5859
73209112,12213
73210212,7276
73211712,5280
73212812,12206
73213912,7988
73215012,12164
73216512,10670
73217612,8416
73218712,9234
73219812,43
73221312,2988
73222412,8409
73223512,7301
73224612,10674
73226212,4421
73227312,44
73228412,9095
73229512,6160
73231012,6931
73232112,0
73233212,43
73234312,7361
73235412,12218
73236912,7739
73238012,38
73239112,6
73240212,7026
73241712,11638
73242812,8492
73243912,12220
73245012,1166
73246512,4407
73335512,9654
73337112,1176
73338212,12164
73339312,5057
73340412,36
73341912,10227
73343012,12163
73344112,0
73345212,12202
73346712,12209
73347812,6
73348912,12202
73350012,12162
73424510,5546
73451911,2667
73453411,3145
73454511,4806
73456011,9669
73457111,8370
73458211,4450
73459311,6892
73460411,1908
73462011,2646
73463111,6531
73464211,10460
73465311,8967
73466811,16
73467911,5449
73469011,7889
73470111,10227
73471611,43
73472711,12169
73473811,37
73474911,12198
73476411,12183
73477511,12223
73478611,8141
73479711,2560
73481211,2919
73482311,3209
73483411,3799
73484511,12183
73486011,12158
73487111,56
73488211,12182
73489311,1130
73490411,12162
73491911,12176
73493011,4574
73494111,855
73495211,5546
73496711,35
73497811,12216
73498911,12181
73500011,2996
73501611,12196
73502711,20
73503811,12215
73504911,11720
73506411,12199
73507511,12207
73508611,47
73509711,26
73511211,8083
73600910,12213
73602410,9974
73603510,7753
73604610,7548
73606112,9259
73607212,0
73608312,5386
73609412,5249
73610912,5357
73612012,12199
73613112,4725
73614212,5947
73615312,9672
73616812,0
73617912,8366
73619012,6120
73620112,2451
73621712,12183
73622812,10875
73623912,46
73625012,3313
73699610,7615
73701110,12165
73702310,6603
73703410,5456
73704510,5968
73706010,32
73707110,3054
73708210,9
73709310,12231
73710410,12196
73712011,12175
73713111,11729
73714211,12159
73715311,52
73716811,41
73717911,12190
73719011,37
73720111,5588
73721611,12207
73722711,43
73723811,12202
73724911,1285
73726411,36
73727511,12178
73728611,4169
73729711,12159
73731211,12182
73732311,989
73733411,2464
73734511,35
73736011,45
73737111,12200
73738211,12200
73739311,12199
73740411,33
73741911,12197
73743011,3070
73744111,3
73745211,4653
73746711,41
73747811,12199
73748911,12208
73750011,52
73862512,12169
73864112,11662
73865312,3441
73866912,12198
73868012,6583
73869112,12178
73870212,12164
73871712,12150
73872812,12180
73873912,12196
73875012,10490
73876512,5356
73877612,8816
73878712,4
73879812,12187
