46535,24.59,25.05,465,1.500,1492,-1780,-13320,121,337,108,-1,-1,-1
46803,24.61,25.05,447,1.442,1452,-1840,-13420,132,337,65,-1,-1,-1
47081,24.59,25.01,385,1.242,1464,-1708,-13312,105,324,98,-1,-1,-1
47356,24.61,25.07,433,1.397,1468,-1864,-13316,121,308,100,-1,-1,-1
47631,24.59,25.05,374,1.206,1432,-1884,-13264,103,324,111,-1,-1,-1
47902,24.59,25.07,485,1.565,1432,-1876,-13216,144,344,103,-1,-1,-1
48180,24.57,25.05,196,0.632,1460,-1832,-13336,142,301,86,-1,-1,-1
48447,24.57,25.01,305,0.984,1484,-1856,-13436,105,322,103,-1,-1,-1
48718,24.61,25.07,367,1.184,1464,-1868,-13488,133,339,85,-1,-1,-1
48989,24.59,25.07,342,1.103,1508,-1736,-13376,149,321,111,-1,-1,-1
49264,24.61,25.11,486,1.568,1380,-1848,-13264,140,345,112,-1,-1,-1
49535,24.59,25.05,475,1.532,1408,-1776,-13320,112,334,88,-1,-1,-1
49810,24.61,25.01,535,1.726,1408,-1812,-13476,133,329,91,-1,-1,-1
50077,24.61,25.07,450,1.452,1464,-1820,-13484,128,287,64,-1,-1,-1
50355,24.59,25.05,503,1.623,1500,-1876,-13316,147,336,97,-1,-1,-1
50623,24.59,24.99,582,1.877,1580,-1880,-13344,149,334,81,-1,-1,-1
50901,24.61,24.95,475,1.532,1360,-1788,-13176,98,342,98,-1,-1,-1
51168,24.59,24.93,577,1.861,1428,-1776,-13232,120,311,100,-1,-1,-1
51450,24.59,24.93,435,1.403,1400,-1836,-13320,111,318,107,-1,-1,-1
51725,24.59,24.93,373,1.203,1476,-1748,-13360,124,323,102,-1,-1,-1
51992,24.59,24.93,432,1.394,1428,-1856,-13536,121,366,97,-1,-1,-1
52263,24.57,24.89,764,2.465,1532,-1836,-13168,107,316,100,-1,-1,-1
52545,24.59,24.87,763,2.461,1480,-1844,-13388,120,296,102,-1,-1,-1
52820,24.59,25.01,348,1.123,1424,-1760,-13344,100,324,77,-1,-1,-1
53088,24.59,24.99,364,1.174,1444,-1876,-13284,141,304,105,-1,-1,-1
53362,24.57,25.11,290,0.935,1356,-1888,-13388,125,321,112,-1,-1,-1
53647,24.59,25.07,462,1.490,1428,-1776,-13412,123,324,87,-1,-1,-1
53925,24.59,25.11,740,2.387,1380,-1740,-13276,122,335,101,-1,-1,-1
54210,24.61,25.11,618,1.994,1332,-1856,-13588,141,317,102,-1,-1,-1
54484,24.57,25.01,485,1.565,1356,-1852,-13500,84,301,90,-1,-1,-1
54760,24.59,25.01,310,1.000,1424,-1876,-13400,125,346,96,-1,-1,-1
55035,24.59,25.05,478,1.542,1296,-1880,-13348,111,324,132,-1,-1,-1
55313,24.61,24.99,382,1.232,1432,-1796,-13476,124,312,95,-1,-1,-1
55595,24.59,25.11,459,1.481,1624,-1760,-13340,162,333,127,-1,-1,-1
55863,24.59,25.05,291,0.939,1440,-1860,-13516,128,336,114,-1,-1,-1
56138,24.61,25.11,240,0.774,1444,-1768,-13252,118,327,88,-1,-1,-1
56413,24.61,25.17,356,1.148,1428,-1920,-13188,131,308,95,-1,-1,-1
56681,24.63,25.17,460,1.484,1456,-1716,-13288,152,341,124,-1,-1,-1
56956,24.53,25.11,410,1.323,1356,-1796,-13452,116,326,95,-1,-1,-1
57227,24.59,25.11,464,1.497,1456,-1760,-13404,134,331,112,-1,-1,-1
57498,24.61,25.11,336,1.084,1536,-1872,-13396,106,313,94,-1,-1,-1
57765,24.63,25.13,305,0.984,1440,-1816,-13380,115,336,105,-1,-1,-1
58036,24.59,25.19,238,0.768,1488,-1744,-13316,119,336,88,-1,-1,-1
58310,24.63,25.23,444,1.432,1496,-1824,-13352,133,331,121,-1,-1,-1
58598,24.63,25.23,304,0.981,1488,-1748,-13340,121,300,90,-1,-1,-1
58876,24.67,25.23,330,1.065,1444,-1780,-13348,143,276,101,-1,-1,-1
59151,24.63,25.11,442,1.426,1528,-1812,-13332,133,341,111,-1,-1,-1
59419,24.63,25.17,413,1.332,1428,-1808,-13228,117,305,116,-1,-1,-1
59690,24.61,25.13,397,1.281,1448,-1900,-13336,129,320,94,-1,-1,-1
59972,24.65,25.25,313,1.010,1504,-1792,-13364,92,288,86,-1,-1,-1
60267,24.65,25.25,358,1.155,1448,-1764,-13300,98,322,93,-1,-1,-1
60534,24.65,25.11,483,1.558,1424,-1912,-13256,134,313,91,-1,-1,-1
60808,24.61,25.11,480,1.548,1384,-1692,-13432,108,322,98,-1,-1,-1
61090,24.63,25.17,442,1.426,1396,-1912,-13380,116,314,106,-1,-1,-1
