timestamp_ms,ir_ambient_c,ir_object_c,sound_peak,sound_volts,ax,ay,az,gx,gy,gz,mx,my,mz
54922,31.63,30.73,6623,0.392,4452,468,-13070,77,287,73,0,0,0
54942,31.63,30.73,5154,0.3114,5334,48,-14114,98,420,74,0,0,0
55027,31.63,30.73,2572,0.3663,5174,586,-15572,72,312,86,0,0,0
55047,31.63,30.73,9962,0.5466,4730,-142,-11032,98,312,82,0,0,0
55088,31.63,30.73,74,0.0105,4730,-142,-11032,98,312,82,0,0,0
55108,31.63,30.73,10301,0.5643,5364,-238,-16880,75,310,86,0,0,0
55151,31.59,30.63,4722,0.6725,5364,-238,-16880,75,310,86,0,0,0
55196,31.59,30.63,1373,0.1955,4146,284,-13226,80,280,64,0,0,0
55259,31.59,30.63,8245,0.533,4520,-68,-13850,116,405,74,0,0,0
55279,31.59,30.63,9231,0.5227,4348,626,-15074,91,304,77,0,0,0
55321,31.59,30.63,684,0.0974,4348,626,-15074,91,304,77,0,0,0
55342,31.59,30.63,8095,0.5451,4846,-26,-11146,142,377,86,0,0,0
55426,31.59,30.63,2684,0.3823,5598,152,-16596,54,347,69,0,0,0
55447,31.59,30.63,6997,0.5165,5598,152,-16596,54,347,69,0,0,0
55498,31.59,30.63,9445,0.5996,4848,-486,-9868,133,346,80,0,0,0
55519,31.59,30.63,8272,0.6296,5240,-688,-15024,129,353,82,0,0,0
55560,31.59,30.63,2484,0.3538,5240,-688,-15024,129,353,82,0,0,0
55605,31.59,30.63,705,0.1004,4744,200,-15480,77,288,70,0,0,0
55665,31.59,30.63,6345,0.3841,4178,-358,-11008,139,364,71,0,0,0
55685,31.59,30.63,9553,0.5844,4604,200,-16260,63,349,78,0,0,0
55727,31.65,30.65,28,0.004,4604,200,-16260,63,349,78,0,0,0
55747,31.65,30.65,7301,0.4393,4692,-28,-9058,108,404,85,0,0,0
55832,31.65,30.65,864,0.1231,5396,-206,-14770,115,388,78,0,0,0
55852,31.65,30.65,8014,0.4623,5318,344,-15906,88,319,83,0,0,0
55895,31.65,30.65,3959,0.5639,5120,-20,-10846,107,324,84,0,0,0
55915,31.65,30.65,12125,0.6714,5244,-488,-13050,110,406,80,0,0,0
55958,31.65,30.65,3999,0.5695,5244,-488,-13050,110,406,80,0,0,0
56016,31.65,30.65,1418,0.202,4086,96,-12862,59,301,75,0,0,0
56074,31.65,30.65,8050,0.5492,4122,-208,-8966,116,346,79,0,0,0
56094,31.65,30.65,7415,0.482,4510,10,-14504,133,383,75,0,0,0
56137,31.65,30.65,2666,0.3797,4680,724,-15158,54,311,91,0,0,0
56157,31.65,30.65,9230,0.5248,3990,120,-9720,117,303,80,0,0,0
56242,31.65,30.65,1529,0.2178,4940,-254,-11736,121,414,80,0,0,0
56262,31.61,30.67,11469,0.6965,5008,408,-13284,59,323,74,0,0,0
56305,31.61,30.67,3467,0.4938,5008,408,-13284,59,323,74,0,0,0
56325,31.61,30.67,11424,0.6885,4940,-538,-10126,143,316,99,0,0,0
56367,31.61,30.67,6015,0.8567,4940,-538,-10126,143,316,99,0,0,0
56412,31.61,30.67,2936,0.4182,5302,-528,-15438,101,349,80,0,0,0
56471,31.61,30.67,7960,0.5534,3802,-100,-9548,93,312,83,0,0,0
56492,31.61,30.67,7560,0.4944,3802,-100,-9548,93,312,83,0,0,0
56544,31.61,30.67,6505,0.4468,4692,292,-16704,63,327,75,0,0,0
56564,31.61,30.67,6364,0.439,4308,646,-12336,31,329,72,0,0,0
56649,31.61,30.67,3957,0.5636,4830,-70,-9406,145,351,97,0,0,0
56669,31.61,30.67,9445,0.564,5500,554,-15580,58,361,74,0,0,0
56711,31.61,30.67,3754,0.5347,5500,554,-15580,58,361,74,0,0,0
56731,31.61,30.67,10492,0.6564,4826,-138,-10518,104,333,89,0,0,0
56773,31.61,30.67,2929,0.4172,4826,-138,-10518,104,333,89,0,0,0
56818,31.61,30.67,1782,0.2538,5178,-236,-16760,68,302,87,0,0,0
56876,31.61,30.67,8790,0.5735,4090,98,-12930,81,283,74,0,0,0
56896,31.61,30.67,7002,0.4594,4532,-36,-14874,133,364,87,0,0,0
56939,31.61,30.67,2809,0.4001,4532,-36,-14874,133,364,87,0,0,0
56959,31.61,30.67,7632,0.4036,4744,780,-15592,51,360,75,0,0,0
57044,31.61,30.67,27,0.0038,4518,202,-9574,72,372,95,0,0,0
57065,31.61,30.67,3027,0.3096,5180,-80,-13192,164,351,80,0,0,0
57120,31.61,30.67,6935,0.5244,5568,290,-16706,48,346,76,0,0,0
57141,31.61,30.67,8999,0.5096,5226,-500,-11400,135,359,87,0,0,0
57183,31.61,30.67,2747,0.3912,5226,-500,-11400,135,359,87,0,0,0
57228,31.61,30.67,4394,0.6258,5688,-300,-17144,81,374,86,0,0,0
57286,31.61,30.67,8658,0.5289,5018,508,-16458,76,285,72,0,0,0
57306,31.61,30.67,7967,0.4876,4380,-478,-11648,141,392,83,0,0,0
57349,31.61,30.73,422,0.0601,4380,-478,-11648,141,392,83,0,0,0
57369,31.61,30.73,9184,0.5548,4946,552,-16830,64,335,73,0,0,0
57454,31.61,30.73,3352,0.4774,4494,500,-12164,40,313,81,0,0,0
57475,31.61,30.73,10397,0.6153,5508,-14,-15288,88,332,88,0,0,0
57517,31.61,30.73,742,0.1057,5508,-14,-15288,88,332,88,0,0,0
57537,31.61,30.73,8940,0.5972,5004,-274,-9812,127,330,98,0,0,0
57580,31.61,30.73,1866,0.2658,5004,-274,-9812,127,330,98,0,0,0
57633,31.61,30.73,1949,0.2776,5268,-586,-13162,128,353,87,0,0,0
57691,31.61,30.73,9146,0.4888,5166,-2,-17278,43,350,84,0,0,0
57711,31.61,30.73,8939,0.5206,4548,-228,-10040,106,396,87,0,0,0
57754,31.61,30.73,1589,0.2263,4548,-228,-10040,106,396,87,0,0,0
57774,31.61,30.73,7323,0.6036,4806,192,-15672,82,391,84,0,0,0
57858,31.61,30.73,3718,0.5295,4440,284,-10384,116,356,94,0,0,0
57879,31.59,30.71,9318,0.586,5320,58,-13560,104,415,79,0,0,0
57921,31.59,30.71,2371,0.3377,5320,58,-13560,104,415,79,0,0,0
57942,31.59,30.71,9343,0.5542,5134,356,-12500,70,281,87,0,0,0
57984,31.59,30.71,280,0.0399,5134,356,-12500,70,281,87,0,0,0
58030,31.59,30.71,4845,0.69,5550,-404,-11372,162,359,88,0,0,0
58088,31.59,30.71,8987,0.579,5464,-154,-17198,79,362,83,0,0,0
58109,31.59,30.71,5909,0.4071,4872,314,-15704,76,292,81,0,0,0
58159,31.59,30.71,8477,0.5924,3930,178,-9958,91,343,83,0,0,0
58179,31.59,30.71,7667,0.4928,4910,546,-16412,67,313,86,0,0,0
58264,31.59,30.71,2112,0.3008,4260,464,-11140,44,283,87,0,0,0
58284,31.59,30.71,9222,0.5361,4822,-336,-10144,112,396,96,0,0,0
58327,31.59,30.71,2987,0.4254,4822,-336,-10144,112,396,96,0,0,0
58347,31.59,30.71,7380,0.5176,5224,302,-14290,87,319,90,0,0,0
58388,31.59,30.67,1214,0.1729,5224,302,-14290,87,319,90,0,0,0
58433,31.59,30.67,1083,0.1542,5018,-192,-9738,115,338,94,0,0,0
58492,31.59,30.67,8233,0.5168,5366,-538,-14828,120,386,88,0,0,0
58512,31.59,30.67,7087,0.4898,3814,310,-11782,64,281,82,0,0,0
58554,31.59,30.67,3244,0.462,3814,310,-11782,64,281,82,0,0,0
58574,31.59,30.67,8300,0.5043,4358,-350,-9830,108,378,85,0,0,0
58659,31.59,30.67,1938,0.276,4458,614,-14298,53,311,75,0,0,0
58680,31.59,30.67,7914,0.5356,4458,614,-14298,53,311,75,0,0,0
58732,31.59,30.67,4793,0.3378,4484,170,-9794,137,341,90,0,0,0
58753,31.59,30.67,8952,0.6643,5610,680,-16766,44,378,78,0,0,0
58795,31.59,30.67,536,0.0763,5610,680,-16766,44,378,78,0,0,0
58840,31.59,30.67,2818,0.4013,5090,12,-11812,84,291,97,0,0,0
58899,31.59,30.67,9788,0.5868,5428,-360,-17088,72,365,86,0,0,0
58920,31.59,30.67,6439,0.4461,4554,416,-15034,94,278,84,0,0,0
58962,31.63,30.71,263,0.0375,4554,416,-15034,94,278,84,0,0,0
58982,31.63,30.71,10402,0.5299,4842,-50,-14624,117,421,93,0,0,0
59066,31.63,30.71,8052,1.1468,4964,914,-17032,52,329,74,0,0,0
59086,31.63,30.71,9382,0.5886,4546,610,-11420,69,318,88,0,0,0
59129,31.63,30.71,1711,0.2437,4546,610,-11420,69,318,88,0,0,0
59149,31.63,30.71,7992,0.5237,5942,278,-17190,48,371,88,0,0,0
59190,31.63,30.71,2206,0.3142,5942,278,-17190,48,371,88,0,0,0
59246,31.63,30.71,3191,0.4545,5460,504,-14838,69,281,70,0,0,0
59305,31.63,30.71,8670,0.4949,5718,-490,-15706,101,372,95,0,0,0
59325,31.63,30.71,6803,0.4463,5180,432,-17132,92,298,71,0,0,0
59367,31.63,30.71,1289,0.1836,5180,432,-17132,92,298,71,0,0,0
59388,31.63,30.71,7209,0.4309,4430,-84,-10020,116,377,75,0,0,0
59473,31.61,30.67,5486,0.7813,4724,234,-16934,76,369,95,0,0,0
59493,31.61,30.67,9078,0.5878,4646,740,-13926,50,308,78,0,0,0
59534,31.61,30.67,4263,0.6071,4646,740,-13926,50,308,78,0,0,0
59555,31.61,30.67,11184,0.6744,5628,184,-15154,95,439,81,0,0,0
59597,31.61,30.67,3202,0.456,5628,184,-15154,95,439,81,0,0,0
59642,31.61,30.67,4154,0.5916,5480,500,-16532,83,300,75,0,0,0
59701,31.61,30.67,7609,0.5063,5124,-418,-12246,131,380,85,0,0,0
59722,31.61,30.67,6910,0.5005,5124,-418,-12246,131,380,85,0,0,0
59771,31.61,30.67,6687,0.4529,5610,-246,-17594,70,321,91,0,0,0
59791,31.61,30.67,8261,0.5633,4104,-148,-9718,107,346,96,0,0,0
59877,31.61,30.67,6201,0.8832,4484,-156,-14076,123,398,89,0,0,0
59898,31.61,30.67,11469,0.6496,4508,682,-10508,59,329,90,0,0,0
59940,31.61,30.67,4032,0.5742,4508,682,-10508,59,329,90,0,0,0
59960,31.61,30.67,9767,0.6234,5208,326,-12068,118,403,87,0,0,0
60002,31.61,30.67,1009,0.1437,5208,326,-12068,118,403,87,0,0,0
60048,31.61,30.67,2252,0.3207,5692,12,-16768,68,343,87,0,0,0
60106,31.61,30.67,7818,0.51,5236,-174,-10200,121,387,91,0,0,0
60127,31.61,30.67,9120,0.5604,5472,-524,-15730,140,358,91,0,0,0
60168,31.61,30.67,1413,0.2012,5472,-524,-15730,140,358,91,0,0,0
60189,31.61,30.67,6958,0.4593,3690,168,-10602,83,321,87,0,0,0
60272,31.61,30.67,4573,0.6513,4572,-38,-10910,111,404,85,0,0,0
60293,31.61,30.67,7227,0.5081,4572,-38,-10910,111,404,85,0,0,0
60343,31.61,30.67,5666,0.4755,4564,502,-13060,43,333,77,0,0,0
60364,31.61,30.67,9702,0.6802,4672,222,-9260,143,317,95,0,0,0
60405,31.61,30.67,3653,0.5203,4672,222,-9260,143,317,95,0,0,0
60450,31.61,30.67,2478,0.3529,5370,-12,-15496,129,382,93,0,0,0
60509,31.61,30.67,9058,0.537,5098,-4,-11158,100,323,80,0,0,0
60530,31.61,30.67,9653,0.5831,5414,-290,-13274,110,397,88,0,0,0
60572,31.59,30.71,1994,0.284,5414,-290,-13274,110,397,88,0,0,0
60593,31.59,30.71,6199,0.4518,4354,310,-13858,64,289,79,0,0,0
60677,31.59,30.71,4042,0.5757,4208,40,-10118,122,358,90,0,0,0
60698,31.59,30.71,8932,0.6068,4666,754,-15720,35,364,70,0,0,0
60740,31.59,30.71,4184,0.5959,4666,754,-15720,35,364,70,0,0,0
60761,31.59,30.71,9214,0.6072,4270,622,-10340,85,332,92,0,0,0
60802,31.59,30.71,1124,0.1601,4270,622,-10340,85,332,92,0,0,0
60860,31.59,30.71,1504,0.2142,5620,234,-16468,69,328,79,0,0,0
60919,31.59,30.71,7544,0.4316,5166,386,-13968,82,306,83,0,0,0
60939,31.59,30.71,8686,0.5366,5522,-370,-16506,114,330,90,0,0,0
60981,31.59,30.71,2874,0.4093,5522,-370,-16506,114,330,90,0,0,0
61001,31.59,30.71,7293,0.4476,4990,688,-16324,67,307,67,0,0,0
61085,31.61,30.67,5990,0.8531,3808,138,-10960,100,310,97,0,0,0
61106,31.61,30.67,10371,0.858,4764,586,-16360,60,353,77,0,0,0
61148,31.61,30.67,3122,0.4446,4764,586,-16360,60,353,77,0,0,0
61169,31.61,30.67,9721,0.5812,4248,720,-13266,30,318,83,0,0,0
61211,31.61,30.67,3513,0.5003,4248,720,-13266,30,318,83,0,0,0
61256,31.61,30.67,2904,0.4136,4714,260,-10652,135,361,92,0,0,0
61315,31.61,30.67,6151,0.4365,5442,572,-15724,64,325,80,0,0,0
61336,31.61,30.67,4529,0.34,5442,572,-15724,64,325,80,0,0,0
61386,31.61,30.67,5649,0.41,5156,-348,-13540,134,363,84,0,0,0
61406,31.61,30.67,7828,0.6064,5348,-36,-17038,53,325,77,0,0,0
61490,31.61,30.67,6929,0.9868,3956,268,-12420,62,292,74,0,0,0
61510,31.61,30.67,9331,0.5458,4378,42,-14996,111,375,81,0,0,0
61551,31.61,30.67,2830,0.4031,4378,42,-14996,111,375,81,0,0,0
61572,31.61,30.67,9107,0.5323,4642,888,-15300,100,295,85,0,0,0
61614,31.59,30.59,750,0.1068,4642,888,-15300,100,295,85,0,0,0
61659,31.59,30.59,66,0.0094,5220,146,-12858,119,408,94,0,0,0
61718,31.59,30.59,9477,0.5166,5534,224,-15960,59,325,80,0,0,0
61738,31.59,30.59,10006,0.5356,4516,230,-12568,85,276,86,0,0,0
61780,31.59,30.59,1794,0.2555,5062,-746,-10846,117,384,90,0,0,0
61800,31.59,30.59,7600,0.4586,5282,-318,-16416,119,329,89,0,0,0
61885,31.59,30.59,3616,0.515,4916,572,-15148,72,299,78,0,0,0
61906,31.59,30.59,6351,0.4637,3652,-2,-9840,91,313,93,0,0,0
61958,31.59,30.59,7508,0.5419,4310,-140,-11912,124,403,77,0,0,0
61979,31.59,30.59,10095,0.5747,4444,550,-16396,57,355,82,0,0,0
62020,31.59,30.59,4582,0.6526,4452,610,-12184,67,296,79,0,0,0
62064,31.59,30.59,2068,0.2945,4896,114,-10546,105,396,91,0,0,0
62126,31.59,30.59,7631,0.5659,5234,-76,-14812,90,347,91,0,0,0
62146,31.59,30.59,6372,0.3524,4544,-98,-9892,133,333,94,0,0,0
62189,31.61,30.67,1421,0.2024,4544,-98,-9892,133,333,94,0,0,0
62209,31.61,30.67,7540,0.4466,5370,-492,-13934,109,424,80,0,0,0
62293,31.61,30.67,2736,0.3897,5028,256,-17196,70,296,87,0,0,0
62314,31.61,30.67,9584,0.575,4176,-304,-9854,113,346,86,0,0,0
62356,31.61,30.67,2439,0.3474,4176,-304,-9854,113,346,86,0,0,0
62376,31.61,30.67,11669,0.6415,4726,194,-15362,76,403,81,0,0,0
62419,31.61,30.67,4260,0.6067,4310,624,-14612,90,277,85,0,0,0
62477,31.61,30.67,1411,0.201,4318,314,-9280,102,364,89,0,0,0
62535,31.61,30.67,8422,0.4802,4982,-102,-12498,144,362,94,0,0,0
62555,31.61,30.67,9643,0.7223,4450,-76,-10624,77,272,86,0,0,0
62598,31.61,30.67,3942,0.5614,4450,-76,-10624,77,272,86,0,0,0
62618,31.61,30.67,9840,0.5907,4818,-460,-10382,140,369,94,0,0,0
62702,31.63,30.67,5587,0.7957,4274,294,-14862,88,284,77,0,0,0
62722,31.63,30.67,10930,0.6074,3872,314,-9062,109,335,84,0,0,0
62765,31.63,30.67,1302,0.1854,3872,314,-9062,109,335,84,0,0,0
62785,31.63,30.67,8331,0.584,4470,430,-16214,42,356,72,0,0,0
62828,31.63,30.67,2237,0.3186,4470,430,-16214,42,356,72,0,0,0
62872,31.63,30.67,2959,0.4214,4040,584,-11238,73,292,83,0,0,0
62931,31.63,30.67,5943,0.3334,4938,228,-10560,126,396,97,0,0,0
62952,31.63,30.67,7139,0.5358,5602,8,-15530,76,389,79,0,0,0
63001,31.63,30.67,6769,0.4835,5100,262,-14338,87,269,88,0,0,0
63022,31.63,30.67,8498,0.5283,5150,-522,-14832,132,399,99,0,0,0
63105,31.63,30.67,8095,1.1529,4922,206,-16254,60,317,76,0,0,0
63126,31.63,30.67,8708,0.5183,3490,206,-10622,71,295,80,0,0,0
63169,31.63,30.67,1874,0.2669,3490,206,-10622,71,295,80,0,0,0
63190,31.63,30.67,8960,0.6414,4186,302,-15590,83,360,77,0,0,0
63232,31.61,30.63,846,0.1205,4186,302,-15590,83,360,77,0,0,0
